ID : 143, AGE : 0, X = 114, Y : 203, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 145, AGE : 0, X = 109, Y : 465, V : 0, O : 0, BHV : Grégaire CAM : 0.324096, PMR: 0.05
ID : 146, AGE : 0, X = 380, Y : 205, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 148, AGE : 0, X = 280, Y : 10, V : 0, O : 0, BHV : Grégaire CAM : 0.43474, PMR: 0.05
ID : 150, AGE : 0, X = 314, Y : 176, V : 0, O : 0, BHV : Grégaire CAM : 0.10339, PMR: 0.05
ID : 152, AGE : 0, X = 471, Y : 45, V : 0, O : 0, BHV : Grégaire CAM : 0.43474, PMR: 0.05
ID : 153, AGE : 0, X = 243, Y : 147, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 154, AGE : 0, X = 617, Y : 348, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 155, AGE : 0, X = 393, Y : 113, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 157, AGE : 0, X = 482, Y : 426, V : 4.64889e-310, O : 0, BHV : Grégaire CAM : 0.0534223, PMR: 0.05
ID : 159, AGE : 0, X = 133, Y : 372, V : 0, O : 0, BHV : Grégaire CAM : 0.541743, PMR: 0.05
ID : 161, AGE : 0, X = 405, Y : 461, V : 0, O : 0, BHV : Grégaire CAM : 0.43474, PMR: 0.05
ID : 162, AGE : 0, X = 320, Y : 438, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 164, AGE : 0, X = 495, Y : 45, V : 0, O : 0, BHV : Grégaire CAM : 0.138114, PMR: 0.05
ID : 166, AGE : 0, X = 145, Y : 278, V : 0, O : 0, BHV : Grégaire CAM : 0.882204, PMR: 0.05
ID : 167, AGE : 0, X = 92, Y : 325, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 168, AGE : 0, X = 605, Y : 300, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 169, AGE : 0, X = 9, Y : 311, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 171, AGE : 0, X = 323, Y : 180, V : 4.64889e-310, O : 0, BHV : Grégaire CAM : 0.786002, PMR: 0.05
ID : 172, AGE : 0, X = 132, Y : 330, V : 4.64889e-310, O : 4.64889e-310, BHV : Grégaire CAM : 0, PMR: 0.05
ID : 174, AGE : 0, X = 273, Y : 254, V : 0, O : 0, BHV : Grégaire CAM : 0.541743, PMR: 0.05
ID : 176, AGE : 0, X = 314, Y : 224, V : 0, O : 0, BHV : Grégaire CAM : 0.0347164, PMR: 0.05
ID : 177, AGE : 0, X = 573, Y : 173, V : 0, O : 0, BHV : Grégaire CAM : 0, PMR: 0.05
